date,EXAMPLE_001,EXAMPLE_002,EXAMPLE_003,EXAMPLE_004
2000-01-01,2.2000000000377806,2.3956018129631578,2.0642675816796636,2.2409266254826066
2000-01-02,2.2106249341424546,2.403461352273048,2.063040311870808,2.2383131654950024
2000-01-03,2.220703315778443,2.4095362004717353,2.06045549077611,2.2356055849199863
2000-01-04,2.229924685752409,2.413733774623916,2.056710659805759,2.2331264369741515
2000-01-05,2.2380062129607907,2.4160337052594945,2.0520445118615083,2.231179191243619
2000-01-06,2.2447049561733126,2.416488542897848,2.0467262654436214,2.2300347103608313
2000-01-07,2.2498283781241075,2.415221265334128,2.041043702845806,2.229919163031833
2000-01-08,2.2532426522722275,2.4124196977354777,2.035290400155135,2.2310039069012677
2000-01-09,2.254878402279562,2.4083280961574522,2.02975271476785,2.2333977909742
2000-01-10,2.2547336327941947,2.403236275923225,2.024697112064616,2.237142226915176
2000-01-11,2.2528737452519323,2.397466786836267,2.0203584087644506,2.2422092689545443
2000-01-12,2.2494286834337487,2.391360747798197,2.016929491308856,2.248502833575542
2000-01-13,2.244587422654518,2.3852630587739294,2.01455304239917,2.2558630965162196
2000-01-14,2.238590210207952,2.3795078186013643,2.0133157914455544,2.2640740443611493
2000-01-15,2.2317191947539223,2.3744049098553273,2.0132458145443826,2.2728741545859434
2000-01-16,2.224288364954936,2.370228889478219,2.0143134704961936,2.281970258649407
2000-01-17,2.216634069665025,2.367211569957345,2.016436695529143,2.2910548341681465
2000-01-18,2.2091078211626782,2.365540004793647,2.01949160624,2.299827289925351
2000-01-19,2.202073570856603,2.365361989862575,2.0233296682205846,2.308020237926762
2000-01-20,2.1959121235094163,2.3668015890128267,2.0278030186308973,2.31543222091912
2000-01-21,2.1910356697004745,2.369987429318576,2.032799749853113,2.3219687262961424
2000-01-22,2.1879153094685204,2.3750963151463997,2.038290834460989,2.3276933011602448
2000-01-23,2.187123548848621,2.3824136910670948,2.044389565456254,2.3328898094533246
2000-01-24,2.189391652537804,2.3924101874894608,2.0514225104744077,2.33813489869287
2000-01-25,2.1956780677420187,2.405829519583233,2.060007698562744,2.344376189366124
2000-01-26,2.2072387931077992,2.4237772681382754,2.071130974021158,2.353006448250497
2000-01-27,2.2256839617004465,2.4477929912206844,2.086205534411768,2.3659174683262556
2000-01-28,2.2529981941287343,2.47988094382265,2.1070936755956122,2.3855107314549753
2000-01-29,2.2914974533702983,2.5224695716596037,2.136065524102438,2.4146372199728203
2000-01-30,2.3436948435683136,2.5782697491770934,2.175669472860367,2.4564386847548976
2000-01-31,2.412054760235351,2.650009382300904,2.2284956430881016,2.5140700603904165
2000-02-01,2.498630853021607,2.7400394687046976,2.296828651626113,2.5902994228170138
2000-02-02,2.60460820950122,2.8498337859032596,2.3822090815537935,2.6870077028242365
2000-02-03,2.7298008396169755,2.9794376311386204,2.4849514111564233,2.80464203009928
2000-02-04,2.872185538518824,3.126953552412607,2.603693860806688,2.9417074949887363
2000-02-05,3.027573768599409,3.2881743190817527,2.735074603460778,3.0944032534587964
2000-02-06,3.189525297077418,3.4564757236411667,2.87363073935265,3.256510963215595
2000-02-07,3.3495846075816464,3.6230573265676913,3.011995519665128,3.4196199935092353
2000-02-08,3.4978728620164827,3.777567183232568,3.1414248641745743,3.5737239720510527
2000-02-09,3.6240011347483283,3.9090741738511845,3.2526224318395816,3.708153941628309
