date,EXAMPLE_001,EXAMPLE_002,EXAMPLE_003,EXAMPLE_004
2000-01-01,2.2834610364311927,2.475059994819312,2.142140816200159,2.36678481264379
2000-01-02,2.2869823214636122,2.4759682666424454,2.141542207383521,2.3722664452224143
2000-01-03,2.289568867017815,2.4763412753597374,2.141089540621948,2.378282363284619
2000-01-04,2.291247316482415,2.476299836351962,2.140866347760858,2.3848133992177782
2000-01-05,2.2920639718217966,2.4759699571129743,2.14094294640423,2.3918194378417375
2000-01-06,2.292083344701669,2.4754790736253023,2.1413743133204486,2.399240439021901
2000-01-07,2.291386186225677,2.474952249050238,2.142198404055081,2.4069980375664644
2000-01-08,2.2900670543795423,2.474508446840274,2.1434349693635837,2.4149976767487047
2000-01-09,2.288231494335515,2.474256991225855,2.145084907335675,2.4231312193445853
2000-01-10,2.2859929237175205,2.474294328967061,2.147130180116727,2.431279972530355
2000-01-11,2.2834693352217648,2.4747012104924013,2.149534319014332,2.439318063726591
2000-01-12,2.2807799572836247,2.4755404216913277,2.152243546619262,2.447116119116061
2000-01-13,2.2780420577468106,2.476855228929272,2.155188567545525,2.454545234122498
2000-01-14,2.2753681481834045,2.478668763460747,2.158287132845579,2.4614812992978834
2000-01-15,2.2728639652694387,2.4809846871144643,2.1614475842249803,2.4678098749004
2000-01-16,2.2706277923352087,2.4837896733209823,2.1645737539236336,2.473432016428676
2000-01-17,2.26875196071338,2.4870585305264776,2.167571855420706,2.478271764739926
2000-01-18,2.2673277485143553,2.4907632019082864,2.1703603601193953,2.4822864403048523
2000-01-19,2.2664553576300426,2.494887378389018,2.17288430034723,2.485481403513968
2000-01-20,2.266261127474751,2.499448983973116,2.175135902304283,2.487931485116653
2000-01-21,2.2669244804111743,2.50453316272459,2.1771837861732717,2.48981168453099
2000-01-22,2.2687170229137346,2.5103383236828107,2.179212922127638,2.491439691965271
2000-01-23,2.27205537141179,2.517236870583533,2.1815767430710684,2.4933319069039444
2000-01-24,2.2775671939175273,2.52584997670515,2.184860871805224,2.496272428095404
2000-01-25,2.2861662807231062,2.537131747833302,2.189954464072378,2.5013905721424283
2000-01-26,2.299127068621437,2.5524522262120075,2.1981200936890777,2.510236718756707
2000-01-27,2.3181423595321715,2.5736613811226143,2.21104680512108,2.52483912720545
2000-01-28,2.345341181180688,2.6031088054643594,2.2308645535973013,2.5477170935104607
2000-01-29,2.3832388852012483,2.6435885388246683,2.2600936839734014,2.5818206251727025
2000-01-30,2.4345913877758494,2.698178247049318,2.3015029425951337,2.630366624052572
2000-01-31,2.5021327255909536,2.769949969294461,2.357856417869487,2.6965493936144664
2000-02-01,2.588191710439964,2.861547860844502,2.43154554919664,2.783121149989631
2000-02-02,2.694209215053325,2.9746565894202948,2.5241267365491176,2.89186589754509
2000-02-03,2.8202092435847597,3.109418703970585,2.6358150306293924,3.0230240166967604
2000-02-04,2.964307842489458,3.2638931666562,2.765013646418278,3.174758120334324
2000-02-05,3.1223650664151603,3.433670431760242,2.9079790761844677,3.342773464012243
2000-02-06,3.28788732678651,3.611761776434128,3.0587235741777072,3.5202084444121358
2000-02-07,3.452263983859878,3.788854877712583,3.209234557908386,3.6978854669393164
2000-02-08,3.605372267175142,3.9539730892485587,3.35004333018242,3.8649589237919098
2000-02-09,3.736515442129258,4.095500079542201,3.4711100218451185,4.009922635730124
2000-02-10,3.835584755999254,4.202449982180415,3.562921208015918,4.121859112254924
2000-02-11,3.894274515184977,4.2657961612951185,3.6176387010711317,4.19174717853505
2000-02-12,3.9071492823892173,4.27963841432661,3.6301092508620774,4.213611841082316
2000-02-13,3.8723738629401057,4.242001219161773,3.598555915186081,4.185312785819817
2000-02-14,3.7919711392215913,4.155115213661897,3.5248233324362466,4.108826338485464
2000-02-15,3.6715589227943424,4.025128432627856,3.4141306306324757,3.98996825665732
2000-02-16,3.5196148078248206,3.8613009871867874,3.2743782910258727,3.8376098471855773
2000-02-17,3.3464041156399538,3.6748312025619967,3.115136785234681,3.662532446107669
2000-02-18,3.162760401279289,3.477520799196585,2.946496270800747,3.4761237422021183
2000-02-19,2.9789196606588635,3.280499469711683,2.7779676582268333,3.2891319583722645
2000-02-20,2.803578997492272,3.0931959005526544,2.617596584171116,3.110661243383721
2000-02-21,2.6432893079432622,2.9226752129781106,2.4713938692425335,2.947525837639091
2000-02-22,2.502217134340848,2.7733812562902798,2.3431155840606945,2.8040005980375122
2000-02-23,2.382241647849116,2.647246361300016,2.234360334739839,2.681931100517759
2000-02-24,2.283302918603911,2.54407658603768,2.1449042294914302,2.5811130221760665
2000-02-25,2.203894138839943,2.462094739482072,2.0731717517991144,2.4998252745213216
2000-02-26,2.141592551701737,2.398525754762309,2.016742752917742,2.4354036319200296
2000-02-27,2.093544972369825,2.350132142109541,1.9728158011743702,2.384764350367066
2000-02-28,2.0568546671554087,2.3136410916281798,1.93857738046684,2.344820501159702
2000-02-29,2.02884795611113,2.2860394284997363,1.9114563708351375,2.312767749830047
2000-03-01,2.0072246359449815,2.2647408279750514,1.8892676304539509,2.2862440080280813
2000-03-02,1.9901129160133473,2.247647894855018,1.8702642373631218,2.26338526230849
2000-03-03,1.9760568171619424,2.2331396784912814,1.8531248470621315,2.242807718907289
2000-03-04,1.9639637864355801,2.2200149949622143,1.836902462922033,2.223546223272119
2000-03-05,1.9530354262948453,2.207416626300294,1.820956346773741,2.2049737222476837
2000-03-06,1.9426974460899238,2.194754043584567,1.8048823926061845,2.1867192598341134
2000-03-07,1.9325382667168216,2.1816350027149713,1.7884509877957233,2.1685948380220137
