Date,Station_ID,Basin_role,Area_km2,Observed_mm_day,Simulated_mm_day,Observed_m3s,Simulated_m3s
1980-01-10,GRDC_4123300,Humid regulated large basin,235770.5,0.82,0.7819424,2237.6367,2133.7842
1980-01-11,GRDC_4123300,Humid regulated large basin,235770.5,1.34,0.7843358,3656.6257,2140.3152
1980-01-12,GRDC_4123300,Humid regulated large basin,235770.5,2.32,1.1500764,6330.8745,3138.3574
1980-01-13,GRDC_4123300,Humid regulated large basin,235770.5,2.39,1.6139834,6521.8926,4404.2783
1980-01-14,GRDC_4123300,Humid regulated large basin,235770.5,2.63,1.9937003,7176.8105,5440.4595
1980-01-15,GRDC_4123300,Humid regulated large basin,235770.5,2.59,2.0706234,7067.657,5650.369
1980-01-16,GRDC_4123300,Humid regulated large basin,235770.5,2.39,2.1438057,6521.8926,5850.0713
1980-01-17,GRDC_4123300,Humid regulated large basin,235770.5,2.08,2.153955,5675.956,5877.7666
1980-01-18,GRDC_4123300,Humid regulated large basin,235770.5,2.09,2.0160294,5703.2446,5501.3916
1980-01-19,GRDC_4123300,Humid regulated large basin,235770.5,1.99,1.9677212,5430.3623,5369.5674
1980-01-20,GRDC_4123300,Humid regulated large basin,235770.5,1.88,1.9393817,5130.1914,5292.234
1980-01-21,GRDC_4123300,Humid regulated large basin,235770.5,2.16,1.8551753,5894.2627,5062.449
1980-01-22,GRDC_4123300,Humid regulated large basin,235770.5,2.27,1.751515,6194.433,4779.578
1980-01-23,GRDC_4123300,Humid regulated large basin,235770.5,1.9,1.568774,5184.7676,4280.91
1980-01-24,GRDC_4123300,Humid regulated large basin,235770.5,1.47,1.4493998,4011.373,3955.1587
1980-01-25,GRDC_4123300,Humid regulated large basin,235770.5,1.46,1.3174157,3984.085,3594.9973
1980-01-26,GRDC_4123300,Humid regulated large basin,235770.5,1.6,1.220612,4366.1206,3330.837
1980-01-27,GRDC_4123300,Humid regulated large basin,235770.5,1.38,1.1442268,3765.7788,3122.3948
1980-01-28,GRDC_4123300,Humid regulated large basin,235770.5,1.37,1.0982478,3738.4905,2996.9263
1980-01-29,GRDC_4123300,Humid regulated large basin,235770.5,1.28,1.028677,3492.8962,2807.0796
1980-01-30,GRDC_4123300,Humid regulated large basin,235770.5,0.96,0.9661878,2619.672,2636.5576
1980-01-31,GRDC_4123300,Humid regulated large basin,235770.5,0.83,0.88707453,2264.9248,2420.6714
1980-02-01,GRDC_4123300,Humid regulated large basin,235770.5,0.83,0.81048894,2264.9248,2211.6826
1980-02-02,GRDC_4123300,Humid regulated large basin,235770.5,0.6,0.7946728,1637.2952,2168.5232
1980-02-03,GRDC_4123300,Humid regulated large basin,235770.5,0.57,0.76433444,1555.4303,2085.735
1980-02-04,GRDC_4123300,Humid regulated large basin,235770.5,0.5400001,0.72556674,1473.5658,1979.9448
1980-02-05,GRDC_4123300,Humid regulated large basin,235770.5,0.46000004,0.69745034,1255.2596,1903.2201
1980-02-06,GRDC_4123300,Humid regulated large basin,235770.5,0.42999995,0.6423177,1173.3947,1752.7727
1980-02-07,GRDC_4123300,Humid regulated large basin,235770.5,0.46000004,0.63067347,1255.2596,1720.9977
1980-02-08,GRDC_4123300,Humid regulated large basin,235770.5,0.57,0.64067745,1555.4303,1748.2968
1980-02-09,GRDC_4123300,Humid regulated large basin,235770.5,0.52,0.6319106,1418.989,1724.3737
1980-02-10,GRDC_4123300,Humid regulated large basin,235770.5,0.49,0.62016493,1337.1244,1692.3217
1980-02-11,GRDC_4123300,Humid regulated large basin,235770.5,0.43999994,0.6208202,1200.6829,1694.1099
1980-02-12,GRDC_4123300,Humid regulated large basin,235770.5,0.44999993,0.6125069,1227.9712,1671.4243
1980-02-13,GRDC_4123300,Humid regulated large basin,235770.5,0.40999997,0.6083298,1118.8182,1660.0256
1980-02-14,GRDC_4123300,Humid regulated large basin,235770.5,0.30000007,0.59463257,818.64777,1622.6483
1980-02-15,GRDC_4123300,Humid regulated large basin,235770.5,0.40999997,0.5714871,1118.8182,1559.4885
1980-02-16,GRDC_4123300,Humid regulated large basin,235770.5,0.57,0.5913069,1555.4303,1613.5732
1980-02-17,GRDC_4123300,Humid regulated large basin,235770.5,0.78999996,0.695595,2155.7717,1898.1572
1980-02-18,GRDC_4123300,Humid regulated large basin,235770.5,1.28,0.74968904,3492.8962,2045.7704
1980-02-19,GRDC_4123300,Humid regulated large basin,235770.5,1.26,0.7492554,3438.3198,2044.587
1980-02-20,GRDC_4123300,Humid regulated large basin,235770.5,1.07,0.73436534,2919.843,2003.9547
1980-02-21,GRDC_4123300,Humid regulated large basin,235770.5,1.1,0.77195704,3001.7078,2106.536
1980-02-22,GRDC_4123300,Humid regulated large basin,235770.5,1.4,0.9603558,3820.3552,2620.643
1980-02-23,GRDC_4123300,Humid regulated large basin,235770.5,1.83,1.2101878,4993.75,3302.3909
1980-02-24,GRDC_4123300,Humid regulated large basin,235770.5,2.26,1.5558469,6167.145,4245.6343
1980-02-25,GRDC_4123300,Humid regulated large basin,235770.5,2.76,1.9071698,7531.5576,5204.333
1980-02-26,GRDC_4123300,Humid regulated large basin,235770.5,2.46,2.1395922,6712.91,5838.573
1980-02-27,GRDC_4123300,Humid regulated large basin,235770.5,2.3,2.1278477,6276.298,5806.5244
1980-02-28,GRDC_4123300,Humid regulated large basin,235770.5,1.82,2.1033287,4966.462,5739.616
1980-02-29,GRDC_4123300,Humid regulated large basin,235770.5,1.39,1.8840498,3793.067,5141.2427
1980-03-01,GRDC_4123300,Humid regulated large basin,235770.5,1.29,1.6663977,3520.1843,4547.308
1980-03-02,GRDC_4123300,Humid regulated large basin,235770.5,1.12,1.4899545,3056.2842,4065.8252
1980-03-03,GRDC_4123300,Humid regulated large basin,235770.5,0.91,1.3068596,2483.231,3566.1914
1980-03-04,GRDC_4123300,Humid regulated large basin,235770.5,0.86,1.1565008,2346.7898,3155.8887
1980-03-05,GRDC_4123300,Humid regulated large basin,235770.5,1.08,1.1358103,2947.1313,3099.4277
1980-03-06,GRDC_4123300,Humid regulated large basin,235770.5,2.08,1.3581004,5675.956,3706.0186
1980-03-07,GRDC_4123300,Humid regulated large basin,235770.5,2.7,1.7640907,7367.828,4813.895
1980-03-08,GRDC_4123300,Humid regulated large basin,235770.5,3.11,2.5855107,8486.646,7055.4067
1980-03-09,GRDC_4123300,Humid regulated large basin,235770.5,3.32,3.620376,9059.699,9879.374
1980-03-10,GRDC_4123300,Humid regulated large basin,235770.5,3.11,4.229238,8486.646,11540.852
1980-03-11,GRDC_4123300,Humid regulated large basin,235770.5,3.01,4.3953457,8213.764,11994.13
1980-03-12,GRDC_4123300,Humid regulated large basin,235770.5,2.96,4.4025593,8077.3228,12013.814
1980-03-13,GRDC_4123300,Humid regulated large basin,235770.5,2.75,3.8882928,7504.2695,10610.472
1980-03-14,GRDC_4123300,Humid regulated large basin,235770.5,2.65,3.4276958,7231.387,9353.583
1980-03-15,GRDC_4123300,Humid regulated large basin,235770.5,2.52,2.9332864,6876.6396,8004.426
